brand_name,price,original_price,description,sizes,product_url
glitchez,515,1199,Women Faded Straight Jeans,Sizes: 32,https://www.myntra.comjeans/glitchez/glitchez-women-dark-grunge-faded-straight-to-style-jeans/31520748/buy
glitchez,719,1999,Women Wide Leg  Jeans,Sizes: 30,https://www.myntra.comjeans/glitchez/glitchez-women-classic-cuts-wide-leg-slit-jeans/31362844/buy
Pepe Jeans,1631,3399,Men Jeans,Sizes: 30,https://www.myntra.comjeans/pepe+jeans/pepe-jeans-men-stretchable-jeans/32424190/buy
Calvin Klein Jeans,7699,10999,Men Jeans,Sizes: 40,https://www.myntra.comjeans/calvin+klein+jeans/calvin-klein-jeans-men-jeans/32306256/buy
Stylecast X Kotty,524,2499,Women Straight Fit Jeans,Sizes: 30,https://www.myntra.comjeans/stylecast+x+kotty/stylecast-x-kotty-women-jean-straight-fit-high-rise-stretchable-jeans/31359183/buy
Calvin Klein Jeans,4799,7999,Women Cotton Jeans,Sizes: 30,https://www.myntra.comjeans/calvin+klein+jeans/calvin-klein-jeans-women-cotton-jeans/31343728/buy
Calvin Klein Jeans,8999,14999,Men Jeans,Sizes: 28,https://www.myntra.comjeans/calvin+klein+jeans/calvin-klein-jeans-men-jeans/31012176/buy
Pepe Jeans,3449,4599,Stretchable Skinny Fit Jeans,Sizes: 30,https://www.myntra.comjeans/pepe+jeans/pepe-jeans-men-heavy-fade-stretchable-skinny-fit-jeans/32598122/buy
Calvin Klein Jeans,8549,8999,Women Jeans,Sizes: 26,https://www.myntra.comjeans/calvin+klein+jeans/calvin-klein-jeans-women-jeans/30226351/buy
Calvin Klein Jeans,9999,N/A,Men Jeans,Sizes: 32,https://www.myntra.comjeans/calvin+klein+jeans/calvin-klein-jeans-men-jeans/30474291/buy
AD By Arvind,1499,2499,Men Mid Rise Jeans,Sizes: 36,https://www.myntra.comjeans/ad+by+arvind/ad-by-arvind-men-relaxed-tapered-fit-mid-rise-jeans/32466339/buy
Pepe Jeans,3999,N/A,Men Relaxed Fit Jeans,Sizes: 38,https://www.myntra.comjeans/pepe+jeans/pepe-jeans-men-relaxed-fit-jeans/33451673/buy
Calvin Klein Jeans,7999,N/A,Women Bootcut Jeans,Sizes: 34,https://www.myntra.comjeans/calvin+klein+jeans/calvin-klein-jeans-women-bootcut-jeans/32390310/buy
Pepe Jeans,3999,N/A,Men Slim Fit Jeans,Sizes: 32,https://www.myntra.comjeans/pepe+jeans/pepe-jeans-men-vapour-slim-fit-light-fade-stretchable-jeans/33229461/buy
SF JEANS by Pantaloons,1599,N/A,Men Jeans,Sizes: 30,https://www.myntra.comjeans/sf+jeans+by+pantaloons/sf-jeans-by-pantaloons-men-jeans/33469597/buy
Calvin Klein Jeans,4799,7999,Women Jeans,Sizes: 30,https://www.myntra.comjeans/calvin+klein+jeans/calvin-klein-jeans-women-jeans/31207011/buy
Levis,2111,3299,Men Slim Tapered Fit Jeans,Sizes: 38,https://www.myntra.comjeans/levis/levis-men-slim-tapered-fit-light-fade-stretchable-jeans/31579386/buy
Louis Philippe Jeans,3203,3599,Men Black Jeans,Sizes: 32,https://www.myntra.comjeans/louis+philippe+jeans/louis-philippe-jeans-men-black-jeans/19857836/buy
Calvin Klein Jeans,4799,7999,Women Jeans,Sizes: 34,https://www.myntra.comjeans/calvin+klein+jeans/calvin-klein-jeans-women-jeans/31207009/buy
Levis,1471,3199,Men 512 Slim Fit Jeans,Sizes: 32,https://www.myntra.comjeans/levis/levis-men-512-slim-fit-light-fade-stretchable-jeans/25756736/buy
Calvin Klein Jeans,6599,10999,Women Jeans,Sizes: 32,https://www.myntra.comjeans/calvin+klein+jeans/calvin-klein-jeans-women-jeans/31207007/buy
Pepe Jeans,3999,N/A,Men Jeans,Sizes: 38,https://www.myntra.comjeans/pepe+jeans/pepe-jeans-men-holborne-stretchable-jeans/32424196/buy
Levis,1379,2999,Men 512 Slim Fit Jeans,Sizes: 40,https://www.myntra.comjeans/levis/levis-men-512-slim-fit-light-fade-stretchable-jeans/25756698/buy
Pepe Jeans,3499,N/A,Women Cropped Jeans,Sizes: 34,https://www.myntra.comjeans/pepe+jeans/pepe-jeans-women-blue-cropped-jeans/19706384/buy
Versace Jeans Couture,33500,N/A,Men Jeans,Sizes: 40,https://www.myntra.comjeans/versace+jeans+couture/versace-jeans-couture-men-jeans/33023182/buy
Pepe Jeans,845,1799,Boys Slim Fit Jeans,Sizes: 8-9Y,https://www.myntra.comjeans/pepe+jeans/pepe-jeans-boys-slim-fit-light-fade-stretchable-jeans/28157094/buy
Calvin Klein Jeans,4799,7999,Women Jeans,Sizes: 34,https://www.myntra.comjeans/calvin+klein+jeans/calvin-klein-jeans-women-jeans/31028827/buy
Voi Jeans,2219,3699,Men Jeans,Sizes: 30,https://www.myntra.comjeans/voi+jeans/voi-jeans-men-light-fade-jeans/30949325/buy
Levis,1819,3499,Men Slim Fit Jeans,Sizes: 28,https://www.myntra.comjeans/levis/levis-men-slim-fit-light-fade-stretchable-jeans/31573946/buy
Louis Philippe Jeans,3203,3599,Men Mid-Rise Jeans,Sizes: 42,https://www.myntra.comjeans/louis+philippe+jeans/louis-philippe-jeans-men-jeans/30258435/buy
Kraus Jeans,997,1995,Women High-Rise Jeans,Sizes: 30,https://www.myntra.comjeans/kraus+jeans/kraus-jeans-women-high-rise-jeans/33209589/buy
Levis,1563,3399,Men 512 Slim Fit Jeans,Sizes: 42,https://www.myntra.comjeans/levis/levis-men-512-slim-fit-light-fade-stretchable-jeans/25756708/buy
Kraus Jeans,847,1695,Women Skinny Fit Jeans,Sizes: 28,https://www.myntra.comjeans/kraus+jeans/kraus-jeans-women-skinny-fit-jeans/31568330/buy
